user_id,text
477046452,@E3 Nintendo walked in the room with #botw2 like 😂 #E32021 #NintendoDirect #realgamer https://t.co/6kk3h4aNZy
1237777774678626304,"https://t.co/dcqkSW6EbT
#NintendoDirect #BarbaradeRegil #EURO2020 #DisculpateABCCOLOR #ApologizeABCCOLOR #3YearsOfYoungblood #E32021 #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/MRsyXHVxlS"
1237777774678626304,"https://t.co/0dsq6msZ7H
#BarbaradeRegil #NintendoDirect #DisculpateABCCOLOR #EURO2020 #ApologizeABCCOLOR #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/Owl57eqFea"
1237777774678626304,"https://t.co/fwQIMoVtbM
#NintendoDirect #BarbaradeRegil #EURO2020 #3YearsOfYoungblood #DisculpateABCCOLOR #ApologizeABCCOLOR #E32021 #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/9bvMBENyQf"
1237777774678626304,"https://t.co/zmeIhpVwn7
#EURO2020 #BarbaradeRegil #DisculpateABCCOLOR #ApologizeABCCOLOR #NintendoDirect #EntretenimientoEnCasa #gamermexico #gamersmexico #instagamermx #Gamermx #twitchmx #gamersmx #mexigamers https://t.co/CoFxyjcDg3"
1237777774678626304,"https://t.co/3NrOnPN8P4
#NintendoDirect #E32021 #3YearsOfYoungblood #FelizMartes #LonelyBug #moda #modafeminina #accesorios #ropa #zapatos #bolsas #ropamujer #accesoriosdemoda #modafemininaonline #zapatosmujer #ropahombre #modamexicana #bolsasfemininas #accesoriosmujer #modamx https://t.co/P6rYdDfuxT"
1237777774678626304,"https://t.co/Ay62xnRpzZ
#NintendoDirect #BarbaradeRegil #E32021 #EURO2020 #3YearsOfYoungblood #DisculpateABCCOLOR #ApologizeABCCOLOR #hyunjinblonde #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/rKzHjvjy7Y"
1237777774678626304,"https://t.co/ay60jWzwPH
#NintendoDirect #BarbaradeRegil #E32021 #EURO2020 #3YearsOfYoungblood #DisculpateABCCOLOR #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/HNHNH1FZqo"
1237777774678626304,"https://t.co/WTxYQdxi7I
#NintendoDirect #BarbaradeRegil #E32021 #3YearsOfYoungblood #EURO2020 #DisculpateABCCOLOR #LonelyBug #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/8e24iXOfvR"
1237777774678626304,"https://t.co/plZz21L44U
#BarbaradeRegil #NintendoDirect #EURO2020 #DisculpateABCCOLOR #ApologizeABCCOLOR #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/9X7bVTq70o"
1237777774678626304,"https://t.co/yzBGJXMX2a
#BarbaradeRegil #DisculpateABCCOLOR #EURO2020 #NintendoDirect #ApologizeABCCOLOR #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/TdGdPHA3Cn"
1237777774678626304,"https://t.co/UhJPHPtuLb
#NintendoDirect #FelizMartes #E32021 #LonelyBug #DisculpateABCCOLOR #ApologizeABCCOLOR #moda #modafeminina #accesorios #ropa #zapatos #bolsas #ropamujer #accesoriosdemoda #modafemininaonline #zapatosmujer #ropahombre #modamexicana #bolsasfemininas #modamx https://t.co/qrpWXB9dxA"
1237777774678626304,"https://t.co/iCW6ICexAC
#NintendoDirect #E32021 #BarbaradeRegil #3YearsOfYoungblood #FelizMartes #LonelyBug #DisculpateABCCOLOR #moda #modafeminina #accesorios #ropa #zapatos #bolsas #ropamujer #accesoriosdemoda #modafemininaonline #zapatosmujer #ropahombre #modamexicana #modamx https://t.co/pVrfaSFwoC"
1237777774678626304,"https://t.co/qALFHQ6AhW
#NintendoDirect #E32021 #BarbaradeRegil #3YearsOfYoungblood #LonelyBug #DisculpateABCCOLOR #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/weKixBlWey"
1237777774678626304,"https://t.co/cCuM5OzNps
#BarbaradeRegil #NintendoDirect #EURO2020 #DisculpateABCCOLOR #ApologizeABCCOLOR #3YearsOfYoungblood #Ofertas #EscuelaEnCasa #AmazonMexico #AmazonPrimeMexico #SonrieConAmazon #OfertasQueTeHacenSonreir https://t.co/Zm5pJDmVec"
1298300364639232000,"BOTW2 TRAILER HAS ME CRYING ON THE FLOOR RIGHT NOW I’M SO HAPPY. BEST DIRECT 😭🙏🏾✨
#NintendoDirect #E32021"
1298300364639232000,"Quick COSPLAY THROWBACK ⏱
In honor of the 
Breath of the Wild 2 TRAILER RELEASE

Looking like my Zelda might officially need a haircut...

#NintendoDirect #E32021 https://t.co/r0UPZV5NxS"
3932043621,#E32021 #NintendoDirect Dangonronpa is on Switch now. That's pretty great.
1348771661361934336,"Day 34 of tweeting this clip @GFuelEnergy until they sponsor me! 
Followers:94! ( ONLY 6 TO GO! YOU MISSED A GREAT STREAM TODAY!

https://t.co/b75NRUCf86
#smallstreamer #NintendoDirect #twitchstreamer #GFUEL"
1271140822042513408,"E3 2021 REACTION: WarioWare Get It Together-Nintendo OMG WHAT?! https://t.co/WrEGbjXtcR
#NintendoDirect #reaction #games https://t.co/gFxOV9SYje"
981216589264687104,"I'm not saying it's playable Zelda but it's really interesting how you literally cannot see his face, and how his hair (which admittedly is usually long, we just see it in a hat most times) is down and the same length as Zelda's from the initial trailer #E3 #NintendoDirect https://t.co/wPE8seyrQF"
394921936,"@nwa Catch brand New #NWAPowerrr in 1 Hour today 6:05PM ⏰ @FiteTV 

Also 🚨 Save the date For AUGUST St Louis 🚨

🗓 August 28-31
📍@ChaseParkPlaza 
➡️ St Louis, MO

#nwa #Missouri #aewdark #wwenxt #NintendoDirect #frager #botw #FuryWilder3 https://t.co/PKmc7n98np"
394921936,"@nwa @RealMelina @KenziePaige_1 @JENNACIDE000 Catch some New #NWAPowerrr TONIGHT 6:05PM

Also 🚨 Get Ready For AUGUST 🚨 ST LOUIS ! 💰 🎟

🗓 August 28-31
📍@ChaseParkPlaza 
➡️ St Louis, MO

#nwa #Missouri #wweraw   #wwenxt   #aewdark   #withAmex #NintendoDirect #metroiddread #E32021   #chaseparkplaza #WrestlingCommunity https://t.co/F4EXt60KP7"
813634148,"No, I'm not going to make any new art just because of #E32021 and #NintendoDirect. Or because of #Zelda... Or am I?

Anyway, here's something I did last year. Based on one of my favorite #TheLegendofZelda games...

A Link Between Worlds. Yeah! https://t.co/RqXRtJvMQ7"
1074433794659270656,@Kotaku Still Waiting on Golden Sun 1 &amp; 2 Remastered #COMEON #NintendoDirect #NintendoSwitch #NintendoE3
1216759837893197825,"Literally the only part of #NintendoDirect I watched today at #E32021 

And actually? Yeah for once, @NintendoAmerica , you got me hyped.

You got me REAL hyped.

#E3 #SmashBrosUltimate #PutHaggishinSmashGodamnit #indiegame #indiegamedev https://t.co/2oWUxMpDOw"
1214632188991483906,"Estamos atendiendo de manera virtual la presentación de Nintendo en el E3. Como buenos geeks, aquí te compartimos algunos datos interesantes sobre la bella máxima de la compañía: 

SUPER SMASH BROS ULTIMATE.

#data #e32021 #dataviz #NintendoDirect https://t.co/GlBUXTZR9d"
2864382671,BOTW 2? Yes please! #NintendoDirect https://t.co/xrCh2m2VJB
938155825842884609,¿Te perdiste el #nintendoDirect del #E32021? ¡Acá te lo resumimos todo! (je) https://t.co/Bi2seL0X6M
938155825842884609,#NintendoDirect #E32021 https://t.co/yNREQnE77A
345643296,So it took a global pandemic for Nintendo to make some good shit #E32021 #NintendoDirect
400431935,"Ma réaction, après avoir appris la sortie de Metroid, Project Zero, Wario Ware et le prochain Zelda.
#E3 #NintendoDirect https://t.co/VBvPdf1fZ7"
1018712306769899520,Y nomás no se ve a Crash en el roster de #SmashBrosUltimate 😅 #E32021 #NintendoDirect https://t.co/VtW6f41Zge
1018712306769899520,"Me da uno pa' llevar porfavor 🤤
#NintendoDirect #Metroid #E32021 https://t.co/C7jxGeotSU"
1018712306769899520,"Tloz x san judas confirmed 😂
#E32021 #NintendoDirect #thelegendofzelda https://t.co/w2BNEOzPm8"
1385290205997932545,@jeff_gluck Give me $1 million #NintendoDirect
1544137326,"Could it be?!?  @ThatCybertGuy is back on the channel for some #E3 coverage!!  https://t.co/QN8RbYeUov

Who's looking forward to the #BreathOfTheWild sequel?!
.
#Nintendo #NintendoSwitch #Zelda #ZeldaBreathOfTheWild2 #TheLegendOfZelda #BreathOfTheWild #E32021 #NintendoDirect"
150522966,"What did we all think? #E32021 #NintendoDirect 
🌟Metroid Dread"
150522966,"Surely #MetroidDread won’t sell out physically, right @JPSWITCHMANIA ? #NintendoDirect #NintendoSwitch"
1045405527063162880,"THAT BASTARD THREW KIRBY OFF A CLIFF. 😡

#NintendoDirect"
789166704756568068,#NintendoDirect #NintendoE3 #SuperSmashBros Because I'm pretty sure it's that time of the year. https://t.co/d18XAKnlZb
62112361,"Click on https://t.co/wQkDZqWi9D to apply for this offer out of the numerous other jobs available on our job board.

Check out our job board for an amazing job offer that favors you.
https://t.co/I4TDRlT7CY.

#NintendoDirect 
Pavard
Ronaldo
Walgreens 
Portugal 
Kante
#FRAGER"
62112361,"Click on the link to apply https://t.co/KupXsCIII8    

That's not all. Go through our job board for other exciting jobs we have available for you by clicking on the link below.
 https://t.co/I4TDRlT7CY.

#FRAGER
Glasnow
Xavien Howard
#SAFEMOONWALLET 
#NintendoDirect"
62112361,"@NintendoAmerica https://t.co/xGStpnJbPo
#NintendoDirect"
62112361,"@Moognific https://t.co/xGStpnJbPo
#NintendoDirect"
62112361,"❗JOBS AVAILABLE❗

Pavard 
Kante
Ronaldo
Walgreens 
MacKenzie Scott
Tony Hawk
#NintendoDirect 
Jon Stewart
Kevin Hart 
Glasnow
Portugal
Xavien Howard 
#SAFEMOONWALLET 
#BlackOutBTS 
Dolphins https://t.co/1yoAz0laLl"
